,Neighbourhood,NeighbourhoodLatitude,NeighbourhoodLongitude,Venue,VenueLatitude,VenueLongitude,VenueCategory,VenuePrimary,Borough,Longitude,City
3361,Chinatown,40.71561842231432,-73.99427936255978,Metrograph,40.714998539086416,-73.99103539533131,Indie Movie Theater,arts_entertainment,Manhattan,-73.99427936255978,New York
3362,Chinatown,40.71561842231432,-73.99427936255978,Cervo's,40.714762540056384,-73.99145547895715,Spanish Restaurant,food,Manhattan,-73.99427936255978,New York
3363,Chinatown,40.71561842231432,-73.99427936255978,Spicy Village,40.71701,-73.99353,Chinese Restaurant,food,Manhattan,-73.99427936255978,New York
3364,Chinatown,40.71561842231432,-73.99427936255978,Wah Fung Number 1 Fast Food 華豐快飯店,40.71727831655619,-73.99417731304892,Chinese Restaurant,food,Manhattan,-73.99427936255978,New York
3365,Chinatown,40.71561842231432,-73.99427936255978,Super Taste (百味蘭州拉面) (Super Taste),40.71519757566773,-73.99351118851398,Noodle House,food,Manhattan,-73.99427936255978,New York
3366,Chinatown,40.71561842231432,-73.99427936255978,WOON,40.71608055070792,-73.99168134841135,Salon / Barbershop,shops,Manhattan,-73.99427936255978,New York
3367,Chinatown,40.71561842231432,-73.99427936255978,Sam's Fried Ice Cream,40.715814082261154,-73.99145645060749,Ice Cream Shop,food,Manhattan,-73.99427936255978,New York
3368,Chinatown,40.71561842231432,-73.99427936255978,Off The Bridge,40.715622403162904,-73.99423665033953,Bike Shop,shops,Manhattan,-73.99427936255978,New York
3369,Chinatown,40.71561842231432,-73.99427936255978,Xi'an Famous Foods,40.715231941715004,-73.99726288220869,Chinese Restaurant,food,Manhattan,-73.99427936255978,New York
3370,Chinatown,40.71561842231432,-73.99427936255978,GoGreen Organic Spa,40.717014,-73.995847,Spa,shops,Manhattan,-73.99427936255978,New York
3371,Chinatown,40.71561842231432,-73.99427936255978,Dimes,40.71483045349728,-73.99171854350031,American Restaurant,food,Manhattan,-73.99427936255978,New York
3372,Chinatown,40.71561842231432,-73.99427936255978,Chinatown Soup,40.71518422476716,-73.99171537302827,Historic Site,arts_entertainment,Manhattan,-73.99427936255978,New York
3373,Chinatown,40.71561842231432,-73.99427936255978,Ling Kee,40.714713,-73.991538,Asian Restaurant,food,Manhattan,-73.99427936255978,New York
3374,Chinatown,40.71561842231432,-73.99427936255978,La Petite Mort,40.715906,-73.991515,Boutique,shops,Manhattan,-73.99427936255978,New York
3375,Chinatown,40.71561842231432,-73.99427936255978,Wayla,40.7182908437571,-73.99258397519588,Thai Restaurant,food,Manhattan,-73.99427936255978,New York
3376,Chinatown,40.71561842231432,-73.99427936255978,The Original Chinatown Ice Cream Factory,40.71552144597581,-73.99814520882326,Ice Cream Shop,food,Manhattan,-73.99427936255978,New York
3377,Chinatown,40.71561842231432,-73.99427936255978,Sofar HQ,40.71352253397576,-73.99628875186677,Music Venue,arts_entertainment,Manhattan,-73.99427936255978,New York
3378,Chinatown,40.71561842231432,-73.99427936255978,Mian Tian Sing Hair Salon,40.716630177497784,-73.99732784630237,Salon / Barbershop,shops,Manhattan,-73.99427936255978,New York
3379,Chinatown,40.71561842231432,-73.99427936255978,oo35mm.com,40.716604729318206,-73.99789000508754,Cosmetics Shop,shops,Manhattan,-73.99427936255978,New York
3380,Chinatown,40.71561842231432,-73.99427936255978,Simple,40.71814514203096,-73.99198775758143,Asian Restaurant,food,Manhattan,-73.99427936255978,New York
3381,Chinatown,40.71561842231432,-73.99427936255978,Kiki’s Grill & Rotisserie,40.714303,-73.991796,Greek Restaurant,food,Manhattan,-73.99427936255978,New York
3382,Chinatown,40.71561842231432,-73.99427936255978,Lan Zhou Handmade Noodle & Dumpling,40.71554266411927,-73.99674213744805,Noodle House,food,Manhattan,-73.99427936255978,New York
3383,Chinatown,40.71561842231432,-73.99427936255978,Chop Suey Club,40.716192,-73.991359,Boutique,shops,Manhattan,-73.99427936255978,New York
3384,Chinatown,40.71561842231432,-73.99427936255978,Dimes Deli,40.71459195873029,-73.99081729031317,Organic Grocery,shops,Manhattan,-73.99427936255978,New York
3385,Chinatown,40.71561842231432,-73.99427936255978,l'estudio,40.71571997526929,-73.99033245121464,American Restaurant,food,Manhattan,-73.99427936255978,New York
3386,Chinatown,40.71561842231432,-73.99427936255978,The Commissary,40.715004192130635,-73.99100963130398,American Restaurant,food,Manhattan,-73.99427936255978,New York
3387,Chinatown,40.71561842231432,-73.99427936255978,Teado,40.71718422928588,-73.9948832988739,Bubble Tea Shop,food,Manhattan,-73.99427936255978,New York
3388,Chinatown,40.71561842231432,-73.99427936255978,New Malaysia,40.71578686130709,-73.9969050590344,Malay Restaurant,food,Manhattan,-73.99427936255978,New York
